"","name","full_name","lat","long","depth","tect","region","eigen_C","betweenness_C"
"AlSF","AlSF","Alice Springs Field",18.2103,144.7073,3640,"back-arc spreading center","Mariana Trough",0.0003265471038662,0
"Arch","Arch","Archaean",12.939,143.632,3060,"back-arc spreading center","Mariana Trough",0.000326547103866155,0
"ByKc","ByKc","Bayonnaise Knoll caldera",31.9667,139.7333,900,"back-arc spreading center","Izu-Bonin back-arc",0.0201589819102886,37.7833333333333
"Burk","Burk","Burke",18.109,144.432,3660,"back-arc spreading center","Mariana Trough",0.000326547103866144,0
"Chmv","Chmv","Chamorro volcano",20.81,144.705,896,"arc volcano","Mariana Arc",0.00722971682530265,0.5
"Dkkv","Dkkv","Daikoku volcano",21.324,144.194,450,"arc volcano","Mariana Arc",0.00523033949161263,0
"EsDv","EsDv","East Diamante volcano",15.93,145.67,457,"arc volcano","Mariana Arc",0.0213535482441251,96.75
"Frcs","Frcs","Forecast",13.4,143.9166,1470,"back-arc spreading center","Mariana Trough",0.00135139211876292,182
"Ftgy","Ftgy","Futagoyama",24.8674,123.3081,1270,"back-arc spreading center","Okinawa Trough",1,242.878571428571
"HfAd","HfAd","Hafa Adai",16.957,144.868,3294,"back-arc spreading center","Mariana Trough",0.000326547103866161,0
"Higa","Higa","Higa",26.555,126.2233,1485,"back-arc spreading center","Okinawa Trough",0.921637877052707,0.428571428571429
"HgE","HgE","Higashi-Ensei",28.4393,128.1724,1220,"back-arc spreading center","Okinawa Trough",0.930022029810151,0.25
"IrbK","IrbK","Irabu Knoll",25.23,124.88,1850,"back-arc spreading center","Okinawa Trough",0.990277185472703,0.878571428571429
"IznC","IznC","Izena Cauldron",27.2667,127.0833,1610,"back-arc spreading center","Okinawa Trough",0.930022029810151,0.25
"KktS","KktS","Kaikata Seamount",26.7,141.0833,930,"arc volcano","Izu-Bonin Arc",0.0184007548204518,24.2
"Ks2S","Ks2S","Kasuga 2 Seamount",21.6,143.6167,500,"arc volcano","Mariana Arc",0.00523033949161262,0
"MEK","MEK","Minami-Ensei Knoll",28.3917,127.6417,740,"back-arc spreading center","Okinawa Trough",0.764534087461944,0
"MkyS","MkyS","Mokuyo Seamount",28.32,140.58,1200,"arc volcano","Izu-Bonin Arc",0.00686705527429553,0
"MyjK","MyjK","Myojin Knoll",32.1033,139.8683,1360,"arc volcano","Izu-Bonin Arc",0.0182418760443415,36.9166666666667
"MyjC","MyjC","Myojinsho Caldera",31.8833,139.95,1110,"arc volcano","Izu-Bonin Arc",0.108296882694452,252.45
"Nkkv","Nkkv","Nikko volcano",23.0833,142.3333,600,"arc volcano","Mariana Arc",0.00804278485550266,16.0833333333333
"NKIR","NKIR","North Knoll, Iheya Ridge",27.7908,126.8966,1100,"back-arc spreading center","Okinawa Trough",0.990277185472703,0.878571428571429
"NrtE","NrtE","Northwest Eifuku",21.485,144.043,1604,"arc volcano","Mariana Arc",0.0114151637930223,208.7
"NRv","NRv","Northwest Rota-1 volcano",14.601,144.775,599,"arc volcano","Mariana Arc",0.00545162654250932,0
"Prsv","Prsv","Perseverance",15.4802,144.5077,3935,"back-arc spreading center","Mariana Trough",0.000326547103866227,0
"Pika","Pika","Pika",12.9183,143.6483,2990,"back-arc spreading center","Mariana Trough",0.000326547103866155,0
"Saka","Saka","Sakai",27.5481,126.9895,1600,"back-arc spreading center","Okinawa Trough",0.990277185472704,0.878571428571429
"SmnX","SmnX","Seamount X",13.25,144.02,1450,"arc volcano","Mariana Arc",0.00722971682530262,0.5
"Snal","Snal","Snail",12.9533,143.62,2880,"back-arc spreading center","Mariana Trough",0.000326547103866166,0
"SPHK","SPHK","SPOT, Hatoma Knoll",24.855,123.841,1520,"back-arc spreading center","Okinawa Trough",0.990277185472703,0.878571428571429
"SYKI","SYKI","SPOT, Yonaguni Knoll IV",24.849,122.7,1385,"back-arc spreading center","Okinawa Trough",0.930022029810151,0.25
"SySm","SySm","Suiyo Seamount",28.575,140.6417,1380,"arc volcano","Izu-Bonin Arc",0.0198051329926328,50.1166666666667
"SmsC","SmsC","Sumisu Caldera",31.4667,140.0667,690,"arc volcano","Izu-Bonin Arc",0,0
"TrmH","TrmH","Tarama Hill",25.45388,124.310103,1973,"back-arc spreading center","Okinawa Trough",0.671147794314415,0
"TrmK","TrmK","Tarama Knoll",25.0916,124.5416,1990,"back-arc spreading center","Okinawa Trough",0.921637877052708,0.428571428571429
